id;Nodo;Contratista;Subcontratista;Fecha;percDsFecPre;percDsFecPost;percUsFecPre(%);percUsFecPost(%);percSnrDs(dB);percSnrUs(dB);percPh;percThroughput(%);QD;QU;QR;
62e8e385e502162143036925;VL09BC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00004212653;0.00000662721;0.2;0;42.2;38.4;9.390243902439;100;0.5;1;0.8;
62e8e385e502162143036926;VL09BD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000141915;0.00000061717;0.4;0;43.5;39.6;8.8571428571429;100;1;1;1;
62e8e385e502162143036927;VL09CA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.001474283379219;0.00084857838997983;3.4;0;43;37.1;9.3478260869565;100;0.5;1;0.8;
62e8e385e502162143036928;VL09CB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000035228;0.00000024731;0.1;0;42.1;38.8;9.7;100;1;1;1;
62e8e385e502162143036929;VL09CC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000407558;0.00000229794;11.8;0;42.8;36.4;9.7457627118644;100;0.6;1;0.84;
62e8e385e50216214303692a;VL09CD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000032205;0.00000036423;49.8;0.1;43.1;32.6;9.7596153846154;100;1;0.9;0.94;
62e8e385e50216214303692b;VL09DA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00001401117;0.00000251948;9.1;0.6;41.7;40.4;9.2857142857143;100;0.5;1;0.8;
62e8e385e50216214303692c;VL09DB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000195804;0.00000164851;12.4;0.2;43.9;35.7;8.3333333333333;100;0.6;1;0.84;
62e8e385e50216214303692d;VL09DC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00004411958;0.00001229528;0.2;0;42.1;39.6;9.8314606741573;85.714285714286;0.5;0.6;0.56;
62e8e385e50216214303692e;VL09DD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000093587;0.00000093018;3.6;0;43.7;41.2;9.0384615384615;85.714285714286;0.6;0.6;0.6;
62e8e385e50216214303692f;VL10AA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.0000009699;0.00000006674;0;0;44.6;41.3;9.0277777777778;100;1;1;1;
62e8e385e502162143036930;VL10AB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00002402219;0.00000555667;0;0;43.2;39.4;8.2352941176471;100;0.5;1;0.8;
62e8e385e502162143036931;VL10AC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000158429;0.00000105392;0;0;43.5;41.8;10;100;0.6;1;0.84;
62e8e385e502162143036932;VL10AD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000073952;0.00000018169;0;0;43.1;40.7;8.3333333333333;100;1;1;1;
62e8e385e502162143036933;VL10BA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00001453719;0.00000382409;0.1;0;42.7;41.5;9.6875;100;0.5;1;0.8;
62e8e385e502162143036934;VL10BB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00001812986;0.00000252334;0.1;0;43.2;41.6;9.4444444444444;100;0.5;1;0.8;
62e8e385e502162143036935;VL10BC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000096311;0.00000033529;3.2;0;43;41.1;9.5454545454545;100;1;1;1;
62e8e385e502162143036936;VL10BD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.000000193;0.00000015398;2.9;0.7;43.6;38.9;9.5744680851064;100;1;1;1;
62e8e385e502162143036937;VL10CA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000077644;0.00000126018;3.7;0;42.5;38.5;9.7260273972603;100;0.6;1;0.84;
62e8e385e502162143036938;VL21AA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0000051714;0.00000640348;0.1;0.2;42.8;37.5;9.4117647058824;100;0.6;1;0.84;
62e8e385e502162143036939;VL21AB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000511424;0.00000083572;11;11.9;42.5;34.1;9.3478260869565;100;1;0.8;0.88;
62e8e385e50216214303693a;VL21AC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000070118;0.0000005185;2.6;0;43.7;38;9.3434343434343;100;1;1;1;
62e8e385e50216214303693b;VL21AD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00016681784338597;0.00001292273;58.9;24;42.4;30.3;9.6875;100;0.5;0.7;0.62;
62e8e385e50216214303693c;VL21BA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00001252399;0.00000749373;22.1;6.1;42.4;36.8;9.3103448275862;100;0.5;0.8;0.68;
62e8e385e50216214303693d;VL21BB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000099078;0.00000052185;0.2;0;44.1;36.3;9.7413793103448;100;1;1;1;
62e8e385e50216214303693e;VL21BC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000153252;0.00000012746;0.9;0;44;39.1;9.6153846153846;100;1;1;1;
